"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Value","Value Footnotes"
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2019","1200","US dollars","2008","2046399542.01102","1"
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2018","1200","US dollars","2008","276520344.28256",""
"Timor-Leste","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2018","1200","US dollars","2008","28420373.8424937",""
"Timor-Leste","2.4","Industries","Mining and quarrying","B","2018","1200","US dollars","2008","1293794.9735081",""
"Timor-Leste","2.4","Industries","Manufacturing","C","2018","1200","US dollars","2008","26328700.5064378",""
"Timor-Leste","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2018","1200","US dollars","2008","797878.36254778",""
"Timor-Leste","2.4","Industries","Construction","F","2018","1200","US dollars","2008","228256870.95268",""
"Timor-Leste","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2018","1200","US dollars","2008","262726336.411322",""
"Timor-Leste","2.4","Industries","Information and communication","J","2018","1200","US dollars","2008","41087763.5512759",""
"Timor-Leste","2.4","Industries","Financial and insurance activities","K","2018","1200","US dollars","2008","21968828.9953903",""
"Timor-Leste","2.4","Industries","Real estate activities","L","2018","1200","US dollars","2008","189181767.54207",""
"Timor-Leste","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2018","1200","US dollars","2008","40515385.1352041",""
"Timor-Leste","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2018","1200","US dollars","2008","454088540.335682",""
"Timor-Leste","2.4","Industries","Other service activities","R+S+T","2018","1200","US dollars","2008","50282664.8923966",""
"Timor-Leste","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2018","1200","US dollars","2008","1593048875.94107",""
"Timor-Leste","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2018","1200","US dollars","2008","-26260528.25",""
"Timor-Leste","2.4","Industries","Plus: Taxes on products","D.21","2018","1200","US dollars","2008","73667000",""
"Timor-Leste","2.4","Industries","Less: Subsidies on products","D.31","2018","1200","US dollars","2008","99927528.25",""
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2018","1200","US dollars","2008","1566788347.69107","1"
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2017","1200","US dollars","2008","271479967.547783",""
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2017","1100","US dollars","2008","259530428.035998",""
"Timor-Leste","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2017","1200","US dollars","2008","27178940.8481122",""
"Timor-Leste","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2017","1100","US dollars","2008","916275326.477852",""
"Timor-Leste","2.4","Industries","Mining and quarrying","B","2017","1200","US dollars","2008","1412470.32894309",""
"Timor-Leste","2.4","Industries","Mining and quarrying","B","2017","1100","US dollars","2008","890354250.464722",""
"Timor-Leste","2.4","Industries","Manufacturing","C","2017","1200","US dollars","2008","24746905.9910719",""
"Timor-Leste","2.4","Industries","Manufacturing","C","2017","1100","US dollars","2008","24821271.8969373",""
"Timor-Leste","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2017","1200","US dollars","2008","1019564.52809726",""
"Timor-Leste","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2017","1100","US dollars","2008","1099804.11619219","2"
"Timor-Leste","2.4","Industries","Construction","F","2017","1200","US dollars","2008","222844584.585043",""
"Timor-Leste","2.4","Industries","Construction","F","2017","1100","US dollars","2008","222906935.086376",""
"Timor-Leste","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2017","1200","US dollars","2008","295331472.381984",""
"Timor-Leste","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2017","1100","US dollars","2008","294775068.282553",""
"Timor-Leste","2.4","Industries","Information and communication","J","2017","1200","US dollars","2008","39456589.6506483",""
"Timor-Leste","2.4","Industries","Information and communication","J","2017","1100","US dollars","2008","39456589.6506483",""
"Timor-Leste","2.4","Industries","Financial and insurance activities","K","2017","1200","US dollars","2008","23430103.5420917",""
"Timor-Leste","2.4","Industries","Financial and insurance activities","K","2017","1100","US dollars","2008","23430103.5420917",""
"Timor-Leste","2.4","Industries","Real estate activities","L","2017","1200","US dollars","2008","188550764.360872",""
"Timor-Leste","2.4","Industries","Real estate activities","L","2017","1100","US dollars","2008","185118155.810043",""
"Timor-Leste","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2017","1200","US dollars","2008","49913987.9449403",""
"Timor-Leste","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2017","1100","US dollars","2008","51123732.6353186",""
"Timor-Leste","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2017","1200","US dollars","2008","440660217.921613",""
"Timor-Leste","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2017","1100","US dollars","2008","440987077.856842",""
"Timor-Leste","2.4","Industries","Other service activities","R+S+T","2017","1200","US dollars","2008","58436404.5113282",""
"Timor-Leste","2.4","Industries","Other service activities","R+S+T","2017","1100","US dollars","2008","62004142.3485495",""
"Timor-Leste","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2017","1200","US dollars","2008","1617283033.29442",""
"Timor-Leste","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2017","1100","US dollars","2008","2495607559.72627",""
"Timor-Leste","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","1200","US dollars","2008","-4159322.39999999",""
"Timor-Leste","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","1100","US dollars","2008","5024000",""
"Timor-Leste","2.4","Industries","Plus: Taxes on products","D.21","2017","1200","US dollars","2008","76635000",""
"Timor-Leste","2.4","Industries","Less: Subsidies on products","D.31","2017","1200","US dollars","2008","80794322.4",""
"Timor-Leste","2.4","Industries","Plus: Statistical discrepancy","","2017","1100","US dollars","2008","-13362122.3580487",""
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","1200","US dollars","2008","1613123710.89442","1"
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","1100","US dollars","2008","2500631559.72627","3"
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2016","1200","US dollars","2008","279913703.9109",""
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2016","1100","US dollars","2008","268830795.102169",""
"Timor-Leste","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2016","1200","US dollars","2008","20412268.8001178",""
"Timor-Leste","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2016","1100","US dollars","2008","834899470.066426",""
"Timor-Leste","2.4","Industries","Mining and quarrying","B","2016","1200","US dollars","2008","1422655.29253741",""
"Timor-Leste","2.4","Industries","Mining and quarrying","B","2016","1100","US dollars","2008","815843644.144651",""
"Timor-Leste","2.4","Industries","Manufacturing","C","2016","1200","US dollars","2008","18032820.3909876",""
"Timor-Leste","2.4","Industries","Manufacturing","C","2016","1100","US dollars","2008","18099032.8051822",""
"Timor-Leste","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2016","1200","US dollars","2008","956793.116592809",""
"Timor-Leste","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2016","1100","US dollars","2008","956793.116592809","2"
"Timor-Leste","2.4","Industries","Construction","F","2016","1200","US dollars","2008","294926165.985407",""
"Timor-Leste","2.4","Industries","Construction","F","2016","1100","US dollars","2008","294979183.958461",""
"Timor-Leste","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2016","1200","US dollars","2008","321028113.654513",""
"Timor-Leste","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2016","1100","US dollars","2008","320260410.39505",""
"Timor-Leste","2.4","Industries","Information and communication","J","2016","1200","US dollars","2008","41559290.0910155",""
"Timor-Leste","2.4","Industries","Information and communication","J","2016","1100","US dollars","2008","41559290.0910155",""
"Timor-Leste","2.4","Industries","Financial and insurance activities","K","2016","1200","US dollars","2008","14328372.3778757",""
"Timor-Leste","2.4","Industries","Financial and insurance activities","K","2016","1100","US dollars","2008","14328372.3778757",""
"Timor-Leste","2.4","Industries","Real estate activities","L","2016","1200","US dollars","2008","187787521.629901",""
"Timor-Leste","2.4","Industries","Real estate activities","L","2016","1100","US dollars","2008","189136376.860058",""
"Timor-Leste","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2016","1200","US dollars","2008","48897951.3236015",""
"Timor-Leste","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2016","1100","US dollars","2008","48897951.3236015",""
"Timor-Leste","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2016","1200","US dollars","2008","408795184.161701",""
"Timor-Leste","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2016","1100","US dollars","2008","408805608.041063",""
"Timor-Leste","2.4","Industries","Other service activities","R+S+T","2016","1200","US dollars","2008","64887158.7893969",""
"Timor-Leste","2.4","Industries","Other service activities","R+S+T","2016","1100","US dollars","2008","65137468.1748478",""
"Timor-Leste","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2016","1200","US dollars","2008","1682535730.72443",""
"Timor-Leste","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2016","1100","US dollars","2008","2486834926.39057",""
"Timor-Leste","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2016","1200","US dollars","2008","4763025",""
"Timor-Leste","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2016","1100","US dollars","2008","9863025",""
"Timor-Leste","2.4","Industries","Plus: Taxes on products","D.21","2016","1200","US dollars","2008","78840000",""
"Timor-Leste","2.4","Industries","Less: Subsidies on products","D.31","2016","1200","US dollars","2008","74076975",""
"Timor-Leste","2.4","Industries","Plus: Statistical discrepancy","","2016","1100","US dollars","2008","6834150.87912681",""
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2016","1200","US dollars","2008","1687298755.72443","1"
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2016","1100","US dollars","2008","2496697951.39057","3"
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2015","1200","US dollars","2008","283511719.95648",""
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2015","1100","US dollars","2008","272420528.292908",""
"Timor-Leste","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2015","1200","US dollars","2008","17986233.9689046",""
"Timor-Leste","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2015","1100","US dollars","2008","1491177648.13598",""
"Timor-Leste","2.4","Industries","Mining and quarrying","B","2015","1200","US dollars","2008","1595503.03853394",""
"Timor-Leste","2.4","Industries","Mining and quarrying","B","2015","1100","US dollars","2008","1474728304.81121",""
"Timor-Leste","2.4","Industries","Manufacturing","C","2015","1200","US dollars","2008","15452324.5058106",""
"Timor-Leste","2.4","Industries","Manufacturing","C","2015","1100","US dollars","2008","15510936.9002123",""
"Timor-Leste","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2015","1200","US dollars","2008","938406.424560028",""
"Timor-Leste","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2015","1100","US dollars","2008","938406.424560027","2"
"Timor-Leste","2.4","Industries","Construction","F","2015","1200","US dollars","2008","274021116.931373",""
"Timor-Leste","2.4","Industries","Construction","F","2015","1100","US dollars","2008","274062433.858337",""
"Timor-Leste","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2015","1200","US dollars","2008","290895025.250189",""
"Timor-Leste","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2015","1100","US dollars","2008","290022381.938231",""
"Timor-Leste","2.4","Industries","Information and communication","J","2015","1200","US dollars","2008","36491124.4083983",""
"Timor-Leste","2.4","Industries","Information and communication","J","2015","1100","US dollars","2008","36491124.4083983",""
"Timor-Leste","2.4","Industries","Financial and insurance activities","K","2015","1200","US dollars","2008","11901054.5617591",""
"Timor-Leste","2.4","Industries","Financial and insurance activities","K","2015","1100","US dollars","2008","11901054.5617591",""
"Timor-Leste","2.4","Industries","Real estate activities","L","2015","1200","US dollars","2008","180655605.344776",""
"Timor-Leste","2.4","Industries","Real estate activities","L","2015","1100","US dollars","2008","181421449.700822",""
"Timor-Leste","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2015","1200","US dollars","2008","50234198.8837966",""
"Timor-Leste","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2015","1100","US dollars","2008","50234198.8837966",""
"Timor-Leste","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2015","1200","US dollars","2008","385598217.456468",""
"Timor-Leste","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2015","1100","US dollars","2008","385598442.086979",""
"Timor-Leste","2.4","Industries","Other service activities","R+S+T","2015","1200","US dollars","2008","57649083.3800301",""
"Timor-Leste","2.4","Industries","Other service activities","R+S+T","2015","1100","US dollars","2008","57863315.2088378",""
"Timor-Leste","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2015","1200","US dollars","2008","1588943380.14217",""
"Timor-Leste","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2015","1100","US dollars","2008","3051192577.07605",""
"Timor-Leste","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2015","1200","US dollars","2008","9599500.00000001",""
"Timor-Leste","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2015","1100","US dollars","2008","32199500",""
"Timor-Leste","2.4","Industries","Plus: Taxes on products","D.21","2015","1200","US dollars","2008","68740000",""
"Timor-Leste","2.4","Industries","Plus: Taxes on products","D.21","2015","1100","US dollars","2008","91340000",""
"Timor-Leste","2.4","Industries","Less: Subsidies on products","D.31","2015","1200","US dollars","2008","59140500",""
"Timor-Leste","2.4","Industries","Less: Subsidies on products","D.31","2015","1100","US dollars","2008","59140500",""
"Timor-Leste","2.4","Industries","Plus: Statistical discrepancy","","2015","1100","US dollars","2008","9232677.71565497",""
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2015","1200","US dollars","2008","1598542880.14217","1"
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2015","1100","US dollars","2008","3083392077.07605","3"
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2014","1200","US dollars","2008","304716371.326889",""
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2014","1100","US dollars","2008","295513840.411014",""
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2014","1000","US dollars","2008","278836534.611396",""
"Timor-Leste","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2014","1200","US dollars","2008","13681287.170791",""
"Timor-Leste","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2014","1100","US dollars","2008","2591333456.64426",""
"Timor-Leste","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2014","1000","US dollars","2008","2790637218.83908",""
"Timor-Leste","2.4","Industries","Mining and quarrying","B","2014","1200","US dollars","2008","1655250.37254938",""
"Timor-Leste","2.4","Industries","Mining and quarrying","B","2014","1100","US dollars","2008","2579261292.03903",""
"Timor-Leste","2.4","Industries","Mining and quarrying","B","2014","1000","US dollars","2008","2777218970.61678",""
"Timor-Leste","2.4","Industries","Manufacturing","C","2014","1200","US dollars","2008","11206633.2300582",""
"Timor-Leste","2.4","Industries","Manufacturing","C","2014","1100","US dollars","2008","11252761.0370482",""
"Timor-Leste","2.4","Industries","Manufacturing","C","2014","1000","US dollars","2008","12598844.6541117",""
"Timor-Leste","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2014","1200","US dollars","2008","819403.568183415",""
"Timor-Leste","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2014","1100","US dollars","2008","819403.568183414","2"
"Timor-Leste","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2014","1000","US dollars","2008","819403.568183413","2"
"Timor-Leste","2.4","Industries","Construction","F","2014","1200","US dollars","2008","231950008.643846",""
"Timor-Leste","2.4","Industries","Construction","F","2014","1100","US dollars","2008","231972001.397919",""
"Timor-Leste","2.4","Industries","Construction","F","2014","1000","US dollars","2008","245640485.785954",""
"Timor-Leste","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2014","1200","US dollars","2008","250254956.719194",""
"Timor-Leste","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2014","1100","US dollars","2008","249117748.880723",""
"Timor-Leste","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2014","1000","US dollars","2008","270007470.478295",""
"Timor-Leste","2.4","Industries","Information and communication","J","2014","1200","US dollars","2008","21768620.0077856",""
"Timor-Leste","2.4","Industries","Information and communication","J","2014","1100","US dollars","2008","21768620.0077856",""
"Timor-Leste","2.4","Industries","Information and communication","J","2014","1000","US dollars","2008","27221164.0077856",""
"Timor-Leste","2.4","Industries","Financial and insurance activities","K","2014","1200","US dollars","2008","12468274",""
"Timor-Leste","2.4","Industries","Financial and insurance activities","K","2014","1100","US dollars","2008","12468274",""
"Timor-Leste","2.4","Industries","Financial and insurance activities","K","2014","1000","US dollars","2008","12468274",""
"Timor-Leste","2.4","Industries","Real estate activities","L","2014","1200","US dollars","2008","177382985.218156",""
"Timor-Leste","2.4","Industries","Real estate activities","L","2014","1100","US dollars","2008","177382985.218156",""
"Timor-Leste","2.4","Industries","Real estate activities","L","2014","1000","US dollars","2008","104040610.618465",""
"Timor-Leste","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2014","1200","US dollars","2008","48138818.9320349",""
"Timor-Leste","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2014","1100","US dollars","2008","48138818.9320349",""
"Timor-Leste","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2014","1000","US dollars","2008","48138819.091731",""
"Timor-Leste","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2014","1200","US dollars","2008","349733306.985336",""
"Timor-Leste","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2014","1100","US dollars","2008","349733536.281601",""
"Timor-Leste","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2014","1000","US dollars","2008","362330722.042506",""
"Timor-Leste","2.4","Industries","Other service activities","R+S+T","2014","1200","US dollars","2008","59022684.4721244",""
"Timor-Leste","2.4","Industries","Other service activities","R+S+T","2014","1100","US dollars","2008","59189050.0564661",""
"Timor-Leste","2.4","Industries","Other service activities","R+S+T","2014","1000","US dollars","2008","47375849.964902",""
"Timor-Leste","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2014","1200","US dollars","2008","1469117313.47616",""
"Timor-Leste","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2014","1100","US dollars","2008","4036618331.82996",""
"Timor-Leste","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2014","1000","US dollars","2008","4186697149.44011",""
"Timor-Leste","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2014","1200","US dollars","2008","-8744449.99999999",""
"Timor-Leste","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2014","1100","US dollars","2008","4655550.00000001",""
"Timor-Leste","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2014","1000","US dollars","2008","-8744698.99999998",""
"Timor-Leste","2.4","Industries","Plus: Taxes on products","D.21","2014","1200","US dollars","2008","70708000",""
"Timor-Leste","2.4","Industries","Plus: Taxes on products","D.21","2014","1100","US dollars","2008","84108000",""
"Timor-Leste","2.4","Industries","Less: Subsidies on products","D.31","2014","1200","US dollars","2008","79452450",""
"Timor-Leste","2.4","Industries","Less: Subsidies on products","D.31","2014","1100","US dollars","2008","79452450",""
"Timor-Leste","2.4","Industries","Plus: Statistical discrepancy","","2014","1100","US dollars","2008","363074.724455601",""
"Timor-Leste","2.4","Industries","Plus: Statistical discrepancy","","2014","1000","US dollars","2008","-2250664.65584837",""
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2014","1200","US dollars","2008","1460372863.47616","1"
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2014","1100","US dollars","2008","4041273881.82996","3"
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2014","1000","US dollars","2008","4175701785.78426",""
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2013","1200","US dollars","2008","297568948.841536",""
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2013","1100","US dollars","2008","294770446.348788",""
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2013","1000","US dollars","2008","276008373.038007",""
